87952	36838	10704	424130	606318	243898	976056	154149	99690	154700	95529	221851	49911	316159	39587	337098	74897	481650	226157
90521	27802	12685	407629	671359	254096	748990	158358	101793	154562	111353	390455	39926	364482	146045	434375	150519	603986	274409
230260	30688	16746	508983	766302	294481	771855	161362	116440	198287	134250	300825	50116	417900	88754	492910	287542	756650	322683
379169	63208	11986	827743	897945	305892	667751	195279	133732	194700	147984	358613	67272	555992	70988	490799	203165	810669	313012
93784	24919	19287	393596	590430	244462	964841	148890	115660	165404	95626	210611	53625	298646	48382	335846	81100	524030	214206
89804	21343	13280	384800	529787	226304	648657	208732	99148	210949	107931	390293	37537	291791	143891	437410	153725	587501	284282
228227	26124	98083	545030	689557	267892	705555	145011	133086	225723	146152	315764	53617	453227	77895	491833	307943	780481	329646
381143	54207	19673	844939	793693	305332	696647	208640	128372	242682	152873	321881	68411	604604	59910	443990	211112	801752	317124
91488	23999	12880	421025	580082	235936	1084724	152028	104985	175941	104134	256687	48666	383189	33392	321490	93869	494655	224527
86848	17281	12224	388612	572159	232769	650118	211661	111473	183902	102186	400021	42964	341648	169375	442921	147857	536772	269298
222017	24231	21275	527860	741334	287065	716540	153428	130407	223320	133666	321301	58563	446285	79359	468414	321299	850031	333994
378918	36826	13717	839335	771931	316604	679927	190271	115292	183897	139703	335172	49766	632487	74018	450530	225093	818781	305319
88827	20820	13958	422904	569014	235415	1145948	166302	101656	146056	97234	244993	50501	396863	41177	352052	93873	510554	224298
104679	17499	9451	392366	530083	246360	637713	147470	109167	167722	99895	376922	36381	356677	154497	421842	145601	593761	277199
227765	27605	18820	546829	688646	281748	732074	156818	139378	219267	136091	315792	48585	487175	83662	458752	341625	863264	334896
372988	37998	22695	875850	797132	326620	788229	206340	127185	232498	151285	406403	52500	717202	62489	459075	245240	877499	336494
90138	23896	13391	451358	598377	230199	1143264	204516	157088	160110	109503	247304	50473	416268	84517	382263	93664	541245	224356
96357	20601	10222	412342	525421	243020	670310	175862	135667	181912	108043	398994	33259	435783	153276	480414	149291	581384	276996
226354	29140	19935	571098	731870	286640	788738	167367	137249	222495	142220	338329	53930	540153	85791	522804	352097	883525	343217
374661	38456	19216	869277	741389	326629	696020	186017	147234	212330	155237	378178	57352	791388	76175	492994	262119	851868	319853
95211	28513	15917	472763	599417	250104	1218236	192906	121165	181511	106743	255587	55896	518035	39317	451945	100342	549919	235987
142224	25451	13571	462635	689189	283137	800554	175403	139433	205888	122424	441262	50919	494354	169107	549522	154308	674793	315996
