1471	2869	3458	2303	2548	2581	1548	2285	2721	2612	1770	2917	2690	1554	2041	2080	1378	930	1409
1452	3054	3531	2429	2647	2683	1608	2386	2813	2700	1807	2934	2772	1600	2038	2196	1443	960	1459
1664	3215	3839	2668	2843	3058	1704	2600	3096	3084	2024	3480	3115	1731	2113	2362	1634	948	1546
1380	2815	3824	2175	2628	2729	1509	2292	2936	2920	1787	2881	2883	1529	2008	1983	1295	864	1395
1524	3049	3655	2438	2687	2746	1608	2381	2808	2708	1821	3014	2800	1625	2100	2132	1393	935	1473
1524	3132	3847	2574	2751	2849	1682	2532	3013	3025	1886	3129	2905	1678	2143	2249	1447	980	1528
1654	3298	3805	2692	2869	3087	1719	2554	3029	2944	1980	3502	3052	1719	2157	2367	1576	954	1560
1449	2995	3899	2333	2808	2934	1603	2421	3224	3092	1896	3107	3235	1623	2051	2120	1343	909	1485
1551	3533	3775	2531	2815	2889	1654	2476	3038	2861	1919	3190	3034	1681	2166	2242	1430	963	1534
1527	3610	3832	2600	2787	2911	1673	2508	3092	2909	1927	3221	3085	1682	2174	2260	1530	984	1548
1678	3953	4104	2801	2961	3217	1728	2606	3245	3187	2073	3733	3270	1785	2216	2455	1627	970	1611
1455	3725	4316	2424	2921	3040	1619	2495	3494	3400	1996	3306	3491	1675	2096	2185	1490	926	1533
1579	3724	4023	2610	2902	3002	1700	2526	3279	3082	2003	3367	3222	1734	2244	2296	1535	983	1590
1561	3744	4098	2712	2917	3059	1727	2570	3311	3174	2051	3453	3296	1757	2248	2338	1608	1035	1611
1732	4161	4367	2972	3171	3425	1801	2710	3519	3444	2206	4037	3532	1876	2337	2547	1804	1026	1697
1511	4060	4663	2544	3089	3231	1684	2617	3882	3733	2120	3543	3783	1746	2133	2253	1542	982	1592
1649	3967	4297	2755	3059	3267	1769	2626	3659	3254	2089	3599	3418	1835	2312	2376	1614	1054	1657
1641	3989	4258	2843	3091	3249	1781	2649	3597	3401	2153	3684	3538	1856	2362	2404	1645	1085	1667
1827	4417	4517	3168	3384	3662	1889	2852	3860	3732	2374	4320	3802	2023	2472	2622	1845	1093	1774
1523	4152	4828	2611	3174	3416	1718	2650	4216	4095	2419	3745	4030	1814	2295	2332	1626	1083	1629
1708	4150	4418	2864	3182	3389	1859	2726	3987	3600	2301	3838	3665	1948	2487	2472	1718	1137	1726
1697	4069	4392	2965	3141	3424	1876	2810	3940	3591	2356	3878	3610	1965	2477	2508	1728	1183	1746
1935	4624	4771	3341	3507	3889	2025	3047	4285	3987	2606	4699	4054	2160	2568	2796	1992	1215	1892
1591	4300	4987	2741	3207	3567	1792	2752	4653	4282	2379	3927	4138	1921	2350	2345	1691	1129	1713
1783	4241	4510	2965	3268	3542	1923	2834	4260	3712	2383	4081	3841	2036	2539	2548	1789	1210	1812
1772	4276	4579	3079	3387	3666	1969	2917	4493	3731	2456	4168	3823	2080	2571	2616	1840	1253	1846
1992	4766	5020	3485	3691	4171	2107	3223	5009	4144	2772	4989	4266	2260	2697	2872	2124	1282	2005
1702	4838	5750	2969	3670	3941	1966	2946	5172	4780	2640	4358	4565	2097	2486	2553	1891	1220	1851
1877	4619	4933	3144	3514	3815	2013	3017	4518	4041	2614	4497	4196	2176	2675	2650	1921	1290	1915
1824	4695	4892	3229	3522	3920	2036	3003	4589	4312	2676	4639	4309	2206	2696	2734	1998	1305	1953
2012	5112	5157	3604	3718	4293	2113	3239	4627	4915	2955	5390	4604	2381	2739	2921	2275	1320	2060
1752	5290	6192	3165	3676	4159	2017	3097	4951	6467	2895	4773	5160	2301	2578	2680	2031	1273	1970
1946	4896	5212	3303	3523	3961	2058	3091	4601	4501	2763	4704	4447	2325	2768	2767	2059	1319	2013
1878	4759	4946	3326	3462	3941	2084	3095	4425	4442	2771	4643	4337	2297	2817	2854	2015	1315	2015
2074	5126	5265	3682	3707	4286	2159	3270	4443	4974	2988	5336	4643	2433	2855	3054	2308	1307	2112
1822	5318	6335	3194	3693	4123	2063	3042	4714	6408	2905	4707	5202	2335	2654	2768	2078	1265	2007
2009	4836	5243	3334	3619	3960	2100	3131	4348	4547	2854	4698	4506	2378	2844	2861	2087	1335	2050
1935	4780	5129	3378	3592	3990	2127	3153	4359	4476	2846	4665	4443	2357	2871	2944	2065	1341	2067
2117	5340	5369	3707	3839	4363	2193	3342	4506	5060	3105	5394	4724	2507	2937	3144	2401	1349	2164
1865	5325	6128	3172	3808	4229	2085	3115	4779	6153	2999	4748	5360	2384	2726	2849	2128	1291	2041
2042	4996	5300	3360	3691	4034	2111	3126	4523	4765	2898	4783	4689	2408	2916	2933	2093	1346	2161
