863579	540894	683534	4069306	16193788	4946010	12566136	2992532	2705459	4825155	1607766	4506620	1390209	4601893	1408378	10067211	1198180	7733978	3299474
890937	522278	638897	4223075	15965619	4880876	12445163	2976413	2676262	4778747	1627410	4498729	1384743	4727518	1398497	10141128	1295006	7892558	3385433
1141886	581665	694901	4851574	16866881	5144201	13146668	3134238	2830618	5094789	1738979	4658937	1455194	5147141	1326850	10694370	1555358	8569877	3604719
1202998	595928	724932	4946108	16885367	5143577	13333492	3259837	2826561	5090254	1718052	4717540	1512275	5298087	1453079	10749945	1353642	8434205	3595371
925454	559497	699791	4348694	16487016	5059124	13298452	3206711	2815813	5036995	1671894	4588771	1511960	4909342	1405214	10615471	1263205	8115276	3441564
957212	557402	695555	4651104	16746150	5146739	13389803	3274836	2810024	5127114	1735819	4855742	1543508	5234674	1489211	10895824	1395425	8398435	3592217
1173729	581081	731780	5153408	17107517	5242379	13647339	3275950	2873645	5157910	1786608	4845597	1589164	5618585	1362663	10988202	1647063	8729966	3636785
1227492	596510	628651	5255227	17248680	5318996	13862242	3395115	2847028	5106420	1747043	4804927	1644659	5682183	1501215	11020296	1427548	8654033	3625203
925720	546785	599920	4644376	17050450	5265599	13851685	3314456	2835231	4995147	1695259	4950918	1639939	5383540	1460287	10965205	1337317	8371853	3528530
964639	543615	639751	4871643	17183065	5365713	13679974	3381976	2835978	5010403	1736857	5072820	1667384	5708153	1533853	11211005	1466705	8673145	3691292
1190091	563751	639930	5329959	17228714	5441739	13941454	3361817	2887754	5038962	1800558	5029129	1703895	5951367	1384264	11264737	1741837	9163787	3752231
1237955	564669	624683	5434694	17325567	5494939	14243268	3460846	2901944	4988125	1781974	5063443	1692423	6191040	1513028	11337820	1501037	8966056	3740480
936669	536428	615904	4825066	17051423	5318253	14081955	3424688	2901209	5030166	1751342	5000230	1663190	5733091	1486265	11226114	1381781	8599493	3631808
1003529	540827	608009	5131028	17208017	5437523	13920613	3503082	2950154	5124195	1795175	5281114	1698897	6058924	1579873	11471267	1514832	8964300	3782578
1196885	561750	613520	5639218	17384277	5509642	14150473	3527530	2990368	5188021	1859267	5272551	1749829	6386729	1478133	11579372	1824471	9330836	3837102
1235868	563020	617360	5734302	17459926	5551253	14376336	3643342	3011722	5148317	1838584	5341208	1766338	6555770	1613487	11638264	1579660	9160496	3788912
959632	548358	595411	5158285	17222520	5452731	14321645	3524767	3013769	5113057	1797608	5228311	1833565	6206854	1569617	11585450	1452288	8799362	3674135
1027533	555551	604862	5423208	17445335	5597878	14271210	3582448	3043906	5650405	1842059	5511455	1841320	6550188	1628020	11821223	1580598	9137704	3823150
1232320	581425	602955	5914971	17598897	5692167	14508822	3595397	3101485	5328037	1908225	5552357	1918285	6851142	1497645	11881411	1894895	9523567	3898646
1247920	583483	593326	5972170	17711845	5734541	14669098	3703409	3139633	5290962	1882353	5579023	1926187	7001456	1670542	11905460	1631225	9328539	3854011
955970	561675	600089	5386770	17477361	5615774	14485783	3596825	3199669	5285407	1844316	5538055	1887377	6547043	1644896	11708653	1473223	8859424	3731841
1049540	565283	600527	5751407	17757513	5793909	14417585	3708849	3265509	5447162	1909143	5901124	1945202	6893656	1730521	12083400	1597176	9351782	3945524
1256241	576598	594140	6269694	17737885	5852735	14652137	3761275	3311642	5540708	1985460	5942468	2014732	7172591	1601724	12130563	1902832	9699699	4022854
1244725	561228	597575	6318483	17719459	5850552	14940860	3850617	3305861	5534027	1959908	5990464	2012273	7270667	1746992	12177700	1680700	9516172	3988201
980196	531036	594636	5803227	17371374	5723635	14830941	3826139	3335734	5544429	1910625	5963706	2015234	6934869	1703939	12037551	1543067	9196808	3894832
1053594	508936	594019	6159952	17523018	5827137	14864561	3864399	3374424	5611760	1957600	6263204	2040902	7287516	1790998	12236680	1695791	9608335	4053819
1244245	505550	577179	6677788	17599378	5893783	15059797	3925856	3455672	5644832	2035741	6279069	2050512	7642769	1632910	12279890	2025158	9963962	4118456
1230466	505730	576450	6669070	17620532	5912263	15253907	4059118	3504847	5621704	2010372	6329633	2060305	7759109	1804102	12310125	1758646	9762491	4084133
969436	488838	600738	6102560	17389310	5747646	15144328	4012660	3528858	5530483	1977048	6392611	2070281	7340094	1771603	12274765	1626000	9451955	3990418
1072641	501230	608515	6426155	17540239	5829260	15143669	4098278	3644423	5586578	2014630	6704579	2068984	7668781	1879912	12476431	1788279	9835840	4121584
1231755	513903	615450	6835987	17551902	5912345	15155335	4152803	3714540	5625933	2054838	6775004	2104582	7896926	1721146	12570648	2103528	10180470	4152000
1206445	519383	605952	6840590	17504049	5935188	15399425	4188714	3708617	5620403	2026578	6845979	2117174	7947539	1868820	12645180	1836258	9948196	4115888
972228	512307	592500	6262355	17104838	5805990	15302442	4148455	3683808	5647107	1993959	6862446	2056825	7307899	1849341	12546813	1583407	9526641	4032583
1060804	528742	596710	6536340	16877130	5848512	15079501	4191452	3649593	5690812	2030207	7006714	2051829	7410131	1969512	12790483	1702359	9936598	4187234
1215255	550118	602999	6996999	16497908	5820700	15113833	4163072	3595779	5715783	2092845	6862168	2049485	7584951	1789086	12894177	2058271	10272399	4244555
1194482	544440	601392	6882313	16138387	5751083	15163118	4166096	3463956	5671454	2047171	6745671	2027716	7494585	1956404	12954544	1760808	9910711	4167869
955631	516047	599027	6222247	15514807	5631898	14916519	3964270	3437383	5691225	1981942	6589942	1944955	7009993	1920987	13026875	1576904	9553560	4072434
1053829	507647	591776	6416990	15497970	5687928	14783548	4008365	3442392	5740318	2016933	6765081	1930292	7197191	2022727	13308625	1721942	10010195	4246004
1196572	513774	588330	6834583	15359477	5694777	14954781	4015229	3398933	5748803	2080779	6633352	1935911	7496238	1836954	13379680	2080404	10371030	4283903
1186839	502713	586664	6754499	15164457	5655091	15086441	4082868	3290896	5728510	2037189	6574802	1937394	7621404	2000991	13476901	1789635	10163759	4204761
962355	488620	582865	6159997	14845477	5590375	14845046	3977486	3272533	5745088	1993687	6523247	1812426	7022543	1995506	13471975	1615586	9807130	4099298
1038122	500027	582862	6340486	14777434	5649526	14764710	3962386	3250982	5800180	2041085	6695772	1806052	7172456	2102329	13613934	1736117	10097298	4250522
1186786	515274	581332	6831037	14566309	5666352	14883105	3949931	3258618	5862013	2101496	6617589	1793591	7406197	1913977	13645602	2090322	10500839	4316585
1175876	510785	575579	6839009	14502514	5632088	15085907	4035166	3236646	5845264	2073581	6617520	1798645	7605993	2084762	13782162	1801437	10316022	4275053
950528	498682	571430	6291370	14236928	5568921	14943233	3965712	3179904	5768673	2010340	6575886	1842608	7089018	2051664	13746142	1631420	10003278	4161315
1066929	510109	563736	6627956	14418708	5674682	14896017	3981770	3169021	5807946	2060770	6794447	1850812	7419652	2172056	14062636	1759470	10417681	4283977
1186396	525591	562579	7122368	14501677	5729610	15048390	3998996	3170495	5867086	2128955	6781228	1855363	7794828	1975636	14073031	2126506	10811243	4337354
1146414	527295	567893	7121633	14475067	5734113	15199118	4076588	3153346	5872205	2111107	6831006	1850364	7906810	2149939	14121047	1847584	10599711	4312585
951725	523381	553608	6568094	14272445	5674201	15066958	3984809	3155313	5858761	2050144	6847139	1885593	7377663	2128457	13995197	1662561	10275795	4177699
1068168	545880	555221	6955524	14413971	5792716	15089160	4102884	3162686	5904810	2117234	7090327	1896867	7742069	2267193	14313934	1747204	10739449	4327258
1200124	575833	555415	7475969	14405660	5846125	15236484	4109257	3167988	5999694	2183118	7054228	1902270	8061312	2023811	14425964	2103570	11052692	4373210
1173879	579501	549898	7473187	14371753	5841579	15300463	4175781	3146431	6003397	2147535	7097143	1897975	8176068	2216005	14467798	1840263	10759319	4320565
971495	578932	547251	7037885	14205303	5812764	15223505	4146072	3131107	5989226	2089556	7165527	1933763	7745553	2191120	14370176	1678241	10461525	4205450
1049757	604558	550597	7367338	14326869	5913388	15108814	4184859	3125113	6029639	2151134	7390350	1948562	8045449	2321922	14584108	1811929	10893177	4337458
1203127	628276	558823	7797765	14320616	5968162	15257154	4202790	3140103	6072807	2205558	7395233	1946996	8295948	2084234	14663309	2174922	11254400	4420102
1176133	634203	552915	7703497	14248805	5976828	15381182	4262473	3131804	6072643	2168892	7439155	1950832	8383991	2279997	14803118	1880334	11014651	4398785
